,fullname,team,birthdate,country,height,weight,rider_url
1187,Evaldas Šiškevičius,Delko Marseille Provence,1988-12-30,Lithuania,1.81,76.0,edvaldas-siskevicius
1188,Juan Esteban Arango,noteam,1986-10-09,Colombia,0.0,0.0,juan-esteban-arango
1189,Edwin Ávila,Israel Cycling Academy,1989-11-21,Colombia,1.67,63.0,edwin-avila
1190,Julio Alexis Camacho,Coldeportes Zenu,1990-06-20,Colombia,0.0,0.0,julio-alexis-camacho
1191,Marco Corti,noteam,1986-04-02,Italy,0.0,0.0,marco-corti
1192,Natnael Berhane,"Cofidis, Solutions Crédits",1991-01-05,Eritrea,1.82,66.0,natnael-berhane
1193,Bryan Coquard,Vital Concept - B&B Hotels,1992-04-25,France,1.69,58.0,bryan-coquard
1194,Morgan Lamoisson,noteam,1988-09-07,France,1.78,69.0,morgan-lamoisson
1195,Julien Morice,Vital Concept - B&B Hotels,1991-07-20,France,1.9,80.0,julien-morice
1196,Iker Camaño,noteam,1979-03-14,Spain,0.0,0.0,iker-camano
1197,Zak Dempster,Israel Cycling Academy,1987-09-27,Australia,1.9,77.0,zakkari-dempster
1198,Russell Downing,noteam,1978-08-23,Great Britain,0.0,0.0,russell-downing
1199,Ralf Matzka,noteam,1989-08-24,Germany,1.77,69.0,ralf-matzka
1200,Jonathan McEvoy,Madison Genesis ,1989-08-02,Great Britain,0.0,0.0,jonathan-mcevoy
1201,José Mendes,Sporting Clube de Portugal/Tavira,1985-04-24,Portugal,1.81,64.0,jose-mendes
1202,Erick Rowsell,Madison Genesis ,1990-07-29,Great Britain,0.0,0.0,erick-rowsell
1203,Scott Thwaites,Vitus Pro Cycling,1990-02-12,Great Britain,1.78,69.0,scott-thwaites
1204,Paul Voss,noteam,1986-03-26,Germany,1.78,66.0,paul-voss
1205,Alexander Wetterhall,noteam,1986-04-12,Sweden,0.0,0.0,alexander-wetterhall
1206,Andrea Ciacchini,noteam,1990-06-26,Italy,0.0,0.0,andrea-ciacchini
1207,Stephen Clancy,Team Novo Nordisk,1992-07-19,Ireland,1.71,63.0,stephen-clancy
1208,Paolo Cravanzola,noteam,1986-03-10,Italy,0.0,0.0,paolo-cravanzola
1209,Kevin De Mesmaeker,noteam,1991-07-24,Belgium,1.76,68.0,kevin-de-mesmaeker
1210,Joonas Henttala,Team Novo Nordisk,1991-09-17,Finland,1.87,73.0,joonas-henttala
1211,Justin Stuart Morris,noteam,1986-06-19,Australia,0.0,0.0,justin-stuart-morris
1212,Andrea Peron,Team Novo Nordisk,1988-10-28,Italy,1.76,70.0,andrea-peron
1213,Aaron Perry,noteam,1987-11-06,New Zealand,0.0,0.0,aaron-perry
1214,Thomas Raeymaekers,noteam,1993-05-22,Belgium,0.0,0.0,thomas-raeymaekers
1215,Branden Russell,noteam,1992-03-15,United States,0.0,0.0,branden-russell
1216,Andrei Strelkov,noteam,1994-06-21,Russia,0.0,0.0,andrei-strelkov
1217,Christopher Williams,Futuro - Maxxis Pro Cycling,1981-11-10,Australia,1.81,75.0,christopher-williams
1218,Jasper de Buyst,Lotto Soudal,1993-11-24,Belgium,1.78,69.0,jasper-de-buyst
1219,Sander Helven,noteam,1990-05-30,Belgium,1.97,74.0,sander-helven
1220,Yves Lampaert,Deceuninck - Quick Step,1991-04-10,Belgium,1.8,75.0,yves-lampaert
1221,Kenneth Vanbilsen,"Cofidis, Solutions Crédits",1990-06-01,Belgium,1.84,73.0,kenneth-van-bilsen
1222,Carlos Alzate,GW - Shimano,1983-03-23,Colombia,1.8,74.0,carlos-eduardo-alzate
1223,Lucas Euser,noteam,1983-12-05,United States,1.7,56.0,lucas-euser
1224,Martyn Irvine,noteam,1985-06-06,Ireland,1.79,0.0,martyn-irvine
1225,Luke Keough,noteam,1991-08-10,United States,1.75,68.0,luke-keough
1226,John Murphy,Rally UHC Cycling,1984-12-15,United States,1.86,81.0,john-murphy
1227,Ramon Carretero,noteam,1990-11-26,Panama,1.76,62.0,ramon-carretero
1228,Airán Fernández,Matrix Powertag,1988-10-30,Spain,0.0,0.0,airan-fernandez
1229,Mauro Finetto,Delko Marseille Provence,1985-05-10,Italy,1.77,65.0,mauro-finetto
1230,Michele Merlo,noteam,1984-08-07,Italy,0.0,0.0,michele-merlo
1231,Luigi Miletta,noteam,1988-08-09,Italy,0.0,0.0,luigi-miletta
1232,Mattia Pozzo,noteam,1989-01-26,Italy,1.72,68.0,mattia-pozzo
1233,Junya Sano,Matrix Powertag,1982-01-09,Japan,1.78,76.0,junya-sano
1234,Riccardo Stacchiotti,Giotti Victoria - Palomar,1991-11-08,Italy,1.79,70.0,riccardo-stacchiotti
1235,Luca Sterbini,noteam,1992-11-12,Italy,1.87,72.0,luca-sterbini
1236,François Bidard,AG2R La Mondiale,1992-03-19,France,1.8,65.0,francois-bidard
1237,Nico Denz,AG2R La Mondiale,1994-02-15,Germany,1.83,71.0,nico-denz
1238,Alexis Gougeard,AG2R La Mondiale,1993-03-05,France,1.76,66.0,alexis-gougeard
1239,Maxat Ayazbayev,noteam,1992-01-27,Kazakhstan,1.89,75.0,maxat-ayazbayev
1240,Ilya Davidenok,Shenzhen Xidesheng Cycling Team,1992-04-19,Kazakhstan,0.0,0.0,ilya-davidenok
1241,Daniil Fominykh,Astana Pro Team,1991-08-28,Kazakhstan,1.82,70.0,daniil-fominykh
1242,Bakhtiyar Kozhatayev,noteam,1992-03-28,Kazakhstan,1.72,62.0,bakhtiyar-kozhatayev
1243,Martijn Tusveld,Team Sunweb,1993-09-09,Netherlands,1.87,70.0,martijn-tusveld
1244,Nick van der Lijke,Roompot - Charles,1991-09-23,Netherlands,1.76,61.0,nick-van-der-lijke
1245,Luke Davison,noteam,1990-05-08,Australia,0.0,0.0,luke-davison
1246,Dylan Teuns,Bahrain Merida,1992-03-01,Belgium,1.81,64.0,dylan-teuns
1247,Loïc Vliegen,Wanty - Gobert Cycling Team,1993-12-20,Belgium,1.83,66.0,loic-vliegen
1248,Rick Zabel,Team Katusha Alpecin,1993-12-07,Germany,1.84,72.0,rick-zabel
1249,Alberto Bettiol,EF Education First,1993-10-29,Italy,1.8,69.0,alberto-bettiol
1250,Davide Formolo,BORA - hansgrohe,1992-10-25,Italy,1.81,62.0,davide-formolo
1251,Matej Mohorič,Bahrain Merida,1994-10-19,Slovenia,1.85,72.0,matej-mohoric
1252,Lorrenzo Manzin,Vital Concept - B&B Hotels,1994-07-26,France,1.75,70.0,lorrenzo-manzin
1253,Guillaume Martin,Wanty - Gobert Cycling Team,1993-06-09,France,1.73,55.0,guillaume-martin
1254,Marc Sarreau,Groupama - FDJ,1993-06-10,France,1.82,74.0,marc-sarreau
1255,Janier Acevedo,EPM,1985-12-06,Colombia,1.75,63.0,janier-alexis-acevedo
1256,Nathan Brown,EF Education First,1991-07-07,United States,1.82,65.0,nathan-brown
1257,Phillip Gaimon,noteam,1986-01-28,United States,1.85,67.0,phillip-gaimon
1258,Dylan Girdlestone,noteam,1989-10-11,South Africa,1.85,66.0,dylan-girdlestone
1259,Lasse Norman Hansen,Corendon - Circus,1992-02-11,Denmark,1.8,75.0,lasse-norman-hansen
1260,Gavin Mannion,Rally UHC Cycling,1991-08-24,United States,1.75,58.0,gavin-mannion
1261,Dylan van Baarle,Team INEOS,1992-05-21,Netherlands,1.87,78.0,dylan-van-baarle
1262,Andrea Vaccher,noteam,1988-12-21,Italy,0.0,0.0,andrea-vaccher
1263,Tiesj Benoot,Lotto Soudal,1994-03-11,Belgium,1.9,72.0,tiesj-benoot
1264,Vegard Breen,noteam,1990-02-08,Norway,1.87,74.0,vegard-breen
1265,Sean De Bie,Roompot - Charles,1991-10-03,Belgium,1.73,65.0,sean-de-bie
1266,Xandro Meurisse,Wanty - Gobert Cycling Team,1992-01-31,Belgium,1.81,0.0,xandro-meurisse
1267,Oliver Naesen,AG2R La Mondiale,1990-09-16,Belgium,1.84,71.0,oliver-naesen
1268,Boris Vallée,Wanty - Gobert Cycling Team,1993-06-03,Belgium,1.88,79.0,boris-vallee
1269,Louis Vervaeke,Team Sunweb,1993-10-06,Belgium,1.8,65.0,louis-vervaeke
1270,Dayer Quintana,Neri Sottoli - Selle Italia - KTM,1992-08-10,Colombia,1.67,58.0,dayer-quintana-rojas
1271,Jasha Sütterlin,Movistar Team,1992-11-04,Germany,1.84,78.0,jasha-sutterlin
1272,Julian Alaphilippe,Deceuninck - Quick Step,1992-06-11,France,1.73,62.0,julian-alaphilippe
1273,Petr Vakoč,Deceuninck - Quick Step,1992-07-11,Czech Republic,1.8,68.0,petr-vakoc
1274,Magnus Cort,Astana Pro Team,1993-01-16,Denmark,0.0,68.0,magnus-cort-nielsen
1275,Caleb Ewan,Lotto Soudal,1994-07-11,Australia,1.65,67.0,caleb-ewan
1276,Nino Schurter,noteam,1986-05-13,Switzerland,0.0,0.0,nino-schurter
1277,Simon Yates,Mitchelton-Scott,1992-08-07,Great Britain,1.72,58.0,simon-yates
1278,Adam Yates,Mitchelton-Scott,1992-08-07,Great Britain,1.73,58.0,adam-yates
1279,Romain Cardis,Team Total Direct Energie,1992-08-12,France,1.8,72.0,romain-cardis
1280,Jérémy Cornu,noteam,1991-08-07,France,1.78,66.0,jeremy-cornu
1281,Dan Craven,noteam,1983-02-01,Namibia,1.84,75.0,dan-craven
1282,Taruia Krainer,noteam,1991-06-01,France,0.0,0.0,taruia-krainer
1283,Yannick Martinez,noteam,1988-05-04,France,1.76,69.0,yannick-martinez
1284,Lawson Craddock,EF Education First,1992-02-20,United States,1.78,69.0,lawson-craddock
1285,Chad Haga,Team Sunweb,1988-08-26,United States,1.91,71.5,chad-haga
1286,Steven Lammertink,Vital Concept - B&B Hotels,1993-12-04,Netherlands,1.76,68.0,steven-lammertink
1287,Sea Keong Loh,Thailand Continental Cycling Team,1986-11-02,Malaysia,0.0,0.0,sea-keong-loh
1288,Fredrik Ludvigsson,Memil - CCN Pro Cycling,1994-04-28,Sweden,1.89,71.0,fredrik-ludvigsson
1289,Sven Erik Bystrøm,UAE-Team Emirates,1992-01-21,Norway,1.89,72.0,sven-erik-bystrom
1290,Nathan Earle,Israel Cycling Academy,1988-06-04,Australia,1.8,70.0,nathan-earle
1291,Sebastián Henao,Team INEOS,1993-08-05,Colombia,1.71,57.0,sebastian-henao
1292,Edward Beltrán,Medellin,1990-01-18,Colombia,1.73,59.0,edward-beltran
1293,Rasmus Guldhammer,Team Waoo,1989-03-09,Denmark,1.83,66.0,rasmus-guldhammer
1294,Michael Kolář,noteam,1992-12-21,Slovakia,0.0,0.0,michael-kolar
1295,Michael Valgren,Team Dimension Data,1992-02-07,Denmark,1.79,71.0,michael-valgren-andersen
1296,Eugenio Alafaci,EvoPro Racing,1990-08-09,Italy,1.87,77.0,eugenio-alafaci
1297,Julián David Arredondo,noteam,1988-07-30,Colombia,1.64,58.0,julian-david-arredondo
1298,Clément Chevrier,AG2R La Mondiale,1992-06-29,France,1.77,56.0,clement-chevrier
1299,Ryan Eastman,noteam,1992-07-28,United States,0.0,0.0,ryan-eastman
1300,Alex Kirsch,Trek - Segafredo,1992-06-12,Luxembourg,1.94,75.0,alex-kirsch
1301,Fábio Silvestre,noteam,1990-01-25,Portugal,1.84,78.0,fabio-silvestre
1302,Jasper Stuyven,Trek - Segafredo,1992-04-17,Belgium,1.86,78.0,jasper-stuyven
1303,Calvin Watson,noteam,1993-01-06,Australia,1.92,72.0,calvin-watson
1304,Riccardo Zoidl,CCC Team,1988-04-08,Austria,1.77,63.0,riccardo-zoidl
1305,Carlos Johan Gálviz,noteam,1989-10-27,Venezuela,1.75,65.0,carlos-galviz
1306,Marcin Mrozek,noteam,1990-02-26,Poland,1.76,66.0,marcin-mrosek
1307,Angelo Raffaele,D'Amico - UM Tools ,1991-04-20,Italy,0.0,0.0,angelo-raffaele
1308,Alessio Taliani,noteam,1990-10-11,Italy,1.8,60.0,alessio-taliani
1309,Nicola Testi,noteam,1990-04-29,Italy,0.0,0.0,nicola-testi
1310,Paolo Colonna,noteam,1987-03-24,Italy,1.76,65.0,paolo-colonna
1311,Andrea Manfredi,noteam,1992-02-10,Italy,1.72,54.0,andrea-manfredi
1312,Dario Mantelli,noteam,1990-07-19,Italy,0.0,0.0,dario-mantelli
1313,Andrea Piechele,noteam,1987-06-29,Italy,1.8,71.0,andrea-piechele
1314,Paolo Simion,Bardiani - CSF,1992-10-10,Italy,1.85,79.0,paolo-simion
1315,Simone Sterbini,Giotti Victoria - Palomar,1993-12-11,Italy,1.92,67.0,simone-sterbini
1316,Franck Bonnamour,Team Arkéa Samsic,1995-06-20,France,1.8,70.0,franck-bonnamour
1317,Axel Journiaux,Team Total Direct Energie,1995-05-20,France,1.72,63.0,axel-journiaux
1318,Kévin Ledanois,Team Arkéa Samsic,1993-07-13,France,1.81,67.0,kevin-ledanois
1319,Miguel Ángel Benito,noteam,1993-09-21,Spain,1.81,67.0,miguel-angel-benito
1320,Fernando Grijalba,noteam,1991-01-14,Spain,1.76,61.0,fernando-grijalba
1321,Lluís Mas,Movistar Team,1989-10-15,Spain,1.81,69.0,lluis-guillermo-mas
1322,Antonio Molina,Caja Rural - Seguros RGA,1991-01-04,Spain,1.69,57.0,antonio-molina
1323,Heiner Rodrigo Parra,GW - Shimano,1991-10-09,Colombia,1.6,51.0,heiner-rodrigo-parra
1324,Arnau Sole,noteam,1992-03-19,Spain,1.84,67.0,arnau-sole
1325,Loïc Chetout,"Cofidis, Solutions Crédits",1992-09-23,France,1.78,70.0,loic-chetout
1326,Dylan Kowalski,noteam,1994-01-26,France,0.0,0.0,dylan-kowalski
1327,Christophe Laporte,"Cofidis, Solutions Crédits",1992-12-11,France,1.89,76.0,christophe-laporte
1328,Anthony Turgis,Team Total Direct Energie,1994-05-16,France,1.79,69.0,anthony-turgis
1329,Jack Anderson,noteam,1987-06-02,Australia,1.83,68.0,jack-anderson
1330,Brendan Canty,noteam,1992-01-17,Australia,1.7,60.0,brendan-canty
1331,Jai Crawford,noteam,1983-08-04,Australia,1.72,59.0,jai-crawford
1332,Floris Goesinnen,noteam,1983-10-30,Netherlands,0.0,0.0,floris-goesinnen
1333,Robbie Hucker,Team UKYO,1990-03-13,Australia,1.81,68.0,robbie-hucker
1334,Benjamin Johnson,noteam,1983-01-07,Australia,0.0,0.0,benjamin-johnson
1335,Jordan Kerby,noteam,1992-08-15,New Zealand,1.79,71.0,jordan-kerby
1336,Darren Lapthorne,noteam,1983-03-04,Australia,1.82,70.0,darren-lapthorne
1337,Lachlan Norris,noteam,1987-01-21,Australia,1.77,67.0,lachlan-norris
1338,Thomas Palmer,noteam,1990-06-28,Australia,0.0,0.0,thomas-palmer
1339,Adam Phelan,noteam,1991-08-23,Australia,1.82,73.0,adam-phelan
1340,Malcolm Rudolph,noteam,1989-01-04,Australia,1.8,69.0,malcolm-rudolph
1341,Bernard Sulzberger,noteam,1983-12-05,Australia,1.77,67.0,bernard-sulzberger
1342,Sondre Holst Enger,Israel Cycling Academy,1993-12-17,Norway,1.71,69.0,sondre-holst-enger
1343,Claudio Imhof,AKROS - Thömus,1990-09-26,Switzerland,0.0,0.0,claudio-imhof
1344,Simon Pellaud,IAM Excelsior,1992-11-06,Switzerland,1.79,70.0,simon-pellaud
1345,Nic Dougall,noteam,1992-11-21,South Africa,1.9,72.0,nick-dougall
1346,Karel Hník,Elkov - Author Cycling Team,1991-08-09,Czech Republic,1.73,54.0,karel-hnik
1347,Gianni Bellini,noteam,1992-02-07,Italy,0.0,0.0,gianni-bellini
1348,Giorgio Cecchinel,noteam,1989-06-24,Italy,1.76,69.0,giorgio-cecchinel
1349,Samuele Conti,noteam,1991-09-14,Italy,1.87,68.0,samuele-conti
1350,Andrea Dal Col,noteam,1991-04-30,Italy,1.85,80.0,andrea-dal-col
1351,Andrea Fedi,noteam,1991-05-29,Italy,1.84,70.0,andrea-fedi
1352,Giuseppe Fonzi,Neri Sottoli - Selle Italia - KTM,1991-08-02,Italy,1.8,63.0,giuseppe-fonzi
1353,Mirko Tedeschi,noteam,1989-01-05,Italy,1.8,69.0,mirko-tedeschi
1354,Ivan Balykin,noteam,1990-11-26,Russia,1.79,68.0,ivan-balykin
1355,Kirill Pozdnyakov,noteam,1989-01-20,Azerbaijan,1.76,67.0,kirill-pozdnyakov
1356,Edward Fabián Díaz,noteam,1994-08-19,Colombia,1.73,68.0,edward-fabian-diaz
1357,Luis Alberto Largo,noteam,1990-04-14,Colombia,0.0,0.0,luis-alberto-largo
1358,Darwin Ferney Pantoja,noteam,1990-09-25,Colombia,1.65,59.0,darwin-ferney-pantoja
1359,Jonathan Paredes,noteam,1989-04-04,Colombia,0.0,0.0,jonathan-paredes
1360,Rodolfo Andrés Torres,Team Illuminate,1987-03-21,Colombia,1.69,56.0,rodolfo-andres-torres
1361,Sam Bennett,BORA - hansgrohe,1990-10-16,Ireland,1.78,69.0,sam-bennett
1362,Patrick Konrad,BORA - hansgrohe,1991-10-13,Austria,1.8,65.0,patrick-konrad
1363,Alexander Krieger,Leopard Pro Cycling ,1991-11-28,Germany,0.0,0.0,alexander-krieger
1364,Gregor Mühlberger,BORA - hansgrohe,1994-04-04,Austria,1.8,64.0,gregor-muhlberger
1365,František Paďour,noteam,1988-01-19,Czech Republic,1.77,59.0,frantisek-padour
1366,Scott Ambrose,noteam,1995-01-23,New Zealand,1.77,66.0,scott-ambrose
1367,Ruud Cremers,noteam,1992-01-02,Netherlands,1.93,76.0,ruud-cremers
1368,Benjamin Dilley,noteam,1991-09-18,United States,1.75,72.0,benjamin-dilley
1369,Nicolas Lefrancois,noteam,1987-04-27,France,1.83,82.0,nicolas-lefrancois
1370,Charles Planet,Team Novo Nordisk,1993-10-30,France,1.79,71.0,charles-planet
1371,Victor Campenaerts,Lotto Soudal,1991-10-28,Belgium,1.73,72.5,victor-campenaerts
1372,Moreno De Pauw,Sport Vlaanderen - Baloise,1991-08-12,Belgium,1.81,72.0,moreno-de-pauw
1373,Jonas Rickaert,Corendon - Circus,1994-02-07,Belgium,1.87,83.5,jonas-rickaert
1374,Edward Theuns,Trek - Segafredo,1991-04-30,Belgium,1.83,72.0,edward-theuns
1375,Otto Vergaerde,Corendon - Circus,1994-07-15,Belgium,1.8,74.0,otto-vergaerde
1376,Isaac Bolivar,noteam,1991-05-09,Colombia,1.78,64.0,isaac-bolivar
1377,Ken Hanson,noteam,1982-04-14,United States,1.77,74.0,ken-hanson
1378,Federico Zurlo,Giotti Victoria - Palomar,1994-02-25,Italy,1.78,70.0,federico-zurlo
1379,Alexander Maes,Cibel,1993-06-20,Belgium,1.8,72.0,alexander-maes
1380,Marco Minnaard,Wanty - Gobert Cycling Team,1989-04-11,Netherlands,1.78,65.0,marco-minnaard
1381,Romain Campistrous,noteam,1992-07-16,France,0.0,0.0,romain-campistrous
1382,Florent Pereira,noteam,1993-10-19,France,0.0,0.0,florent-pereira
1383,Miguel Ángel López,Astana Pro Team,1994-02-04,Colombia,1.7,65.0,miguel-angel-lopez
1384,Tom Bohli,UAE-Team Emirates,1994-01-17,Switzerland,1.83,71.0,tom-bohli
1385,Campbell Flakemore,noteam,1992-08-06,Australia,1.86,72.0,campbell-flakemore
1386,Kilian Frankiny,Groupama - FDJ,1994-01-26,Switzerland,1.88,68.0,kilian-frankiny
1387,Floris Gerts,noteam,1992-05-03,Netherlands,1.82,71.5,floris-gerts
1388,Stefan Küng,Groupama - FDJ,1993-11-16,Switzerland,1.93,83.0,stefan-kung
1389,Manuel Senni,Bardiani - CSF,1992-03-11,Italy,1.81,64.0,manuel-senni
1390,Rodrigo Contreras,Astana Pro Team,1994-06-02,Colombia,1.8,68.0,rodrigo-contreras
1391,Fernando Gaviria,UAE-Team Emirates,1994-08-19,Colombia,1.8,71.0,fernando-gaviria
1392,Łukasz Wiśniowski,CCC Team,1991-12-07,Poland,1.9,79.0,lukasz-wisniowski
1393,Fabien Doubey,Wanty - Gobert Cycling Team,1993-10-21,France,1.74,62.0,fabien-doubey
1394,Marc Fournier,Vital Concept - B&B Hotels,1994-11-12,France,1.83,71.0,marc-fournier
1395,Élie Gesbert,Team Arkéa Samsic,1995-07-01,France,1.81,63.0,elie-gesbert
1396,Mário Costa,noteam,1985-11-15,Portugal,0.0,0.0,mario-costa
1397,Filippo Ganna,Team INEOS,1996-07-25,Italy,1.93,76.0,filippo-ganna
1398,Luca Pacioni,Neri Sottoli - Selle Italia - KTM,1993-08-13,Italy,0.0,0.0,luca-pacioni
1399,Luka Pibernik,Bahrain Merida,1993-10-23,Slovenia,1.77,60.0,luka-pibernik
1400,Edward Ravasi,UAE-Team Emirates,1994-06-05,Italy,1.81,62.0,edward-ravasi
1401,Frederik Frison,Lotto Soudal,1992-07-28,Belgium,1.94,79.0,frederik-frison
1402,Dries Van Gestel,Sport Vlaanderen - Baloise,1994-09-30,Belgium,1.88,69.0,dries-van-gestel
1403,Kenneth Van Rooy,Sport Vlaanderen - Baloise,1993-10-08,Belgium,1.78,70.0,kenneth-van-rooy
1404,Jack Haig,Mitchelton-Scott,1993-09-06,Australia,1.9,67.0,jack-haig
1405,Jasper Bovenhuis,Vlasman CT,1991-07-27,Netherlands,0.0,0.0,jasper-bovenhuis
1406,Ryan Mullen,Trek - Segafredo,1994-08-07,Ireland,1.89,77.0,ryan-mullen
1407,Kristoffer Skjerping,Uno-X Norwegian Development Team,1993-05-04,Norway,1.82,71.0,kristoffer-skjerping
1408,Ruben Zepuntke,noteam,1993-01-29,Germany,1.84,76.0,ruben-zepuntke
1409,Carter Jones,noteam,1989-02-27,United States,1.83,64.0,carter-jones
1410,Lars van der Haar,Telenet Fidea Lions,1991-07-23,Netherlands,1.69,58.5,lars-van-der-haar
1411,Max Walscheid,Team Sunweb,1993-06-13,Germany,1.99,92.0,max-walscheid
1412,Nils Politt,Team Katusha Alpecin,1994-03-06,Germany,1.92,80.0,nils-politt
1413,Jhonatan Restrepo,noteam,1994-11-28,Colombia,1.71,69.0,jhonatan-restrepo
1414,Koen Bouwman,Team Jumbo-Visma,1993-12-02,Netherlands,1.78,60.0,koen-bouwman
1415,Twan Castelijns,noteam,1989-01-23,Netherlands,1.8,70.0,twan-castelijns
1416,Timo Roosen,Team Jumbo-Visma,1993-01-11,Netherlands,1.94,75.0,timo-roosen
1417,Mike Teunissen,Team Jumbo-Visma,1992-08-25,Netherlands,1.84,73.0,mike-teunissen
1418,Tao Geoghegan Hart,Team INEOS,1995-03-30,Great Britain,1.83,0.0,tao-geoghegan-hart
1419,Alex Peters,noteam,1994-03-31,Great Britain,0.0,0.0,alex-peters
1420,Michael Gogl,Trek - Segafredo,1993-11-04,Austria,1.86,70.0,michael-gogl
1421,Felix Großschartner,BORA - hansgrohe,1993-12-23,Austria,1.84,64.0,felix-grossschartner
1422,Antwan Tolhoek,Team Jumbo-Visma,1994-04-29,Netherlands,1.78,61.0,antwan-tolhoek
1423,Leonardo Basso,Team INEOS,1993-12-25,Italy,1.78,63.0,leonardo-basso
1424,Julien Bernard,Trek - Segafredo,1992-03-17,France,1.76,60.0,julien-bernard
1425,Daniel McConnell,noteam,1985-08-09,Australia,1.81,67.0,daniel-mcconnell
1426,Szymon Rekita,Leopard Pro Cycling ,1994-01-05,Poland,0.0,0.0,szymon-rekita
1427,Massimiliano Barbero Piantino,noteam,"[' -', <br/>, <b>Nationality:</b>]",Italy,1.79,65.0,massimiliano-barbero-piantino
1428,John Ebsen,noteam,1988-11-15,Denmark,1.76,58.0,john-ebsen
1429,Carlos Gimenez,noteam,1995-05-07,Venezuela,1.64,53.0,carlos-gimenez
1430,Alberto Nardin,noteam,1990-04-30,Italy,1.8,63.5,alberto-nardin
1431,Serghei Țvetcov,Floyd's Pro Cycling,1988-12-29,Romania,1.78,69.0,serghei-tvetcov
1432,Mattia Viel,Androni Giocattoli - Sidermec,1995-04-22,Italy,1.8,72.0,mattia-viel
1433,Simone Andreetta,noteam,1993-08-30,Italy,1.83,69.0,simone-andreetta
1434,Luca Chirico,noteam,1992-07-16,Italy,1.67,53.0,luca-chirico
1435,Alessandro Tonelli,Bardiani - CSF,1992-05-29,Italy,1.76,64.0,alessandro-tonelli
1436,Shane Archbold,BORA - hansgrohe,1989-02-02,New Zealand,1.82,80.0,shane-archbold
1437,Phil Bauhaus,Bahrain Merida,1994-07-08,Germany,1.84,71.0,phil-bauhaus
1438,Emanuel Buchmann,BORA - hansgrohe,1992-11-18,Germany,1.81,59.0,emanuel-buchmann
1439,Christoph Pfingsten,BORA - hansgrohe,1987-11-20,Germany,1.79,69.0,christoph-pfingsten
1440,Lukas Pöstlberger,BORA - hansgrohe,1992-01-10,Austria,1.82,70.0,lukas-postlberger
1441,Matthieu Boulo,noteam,1989-05-11,France,1.72,62.0,matthieu-boulo
1442,Maxime Cam,Vital Concept - B&B Hotels,1992-07-09,France,1.69,62.0,maxime-cam
1443,Valentin Madouas,Groupama - FDJ,1996-07-12,France,1.74,59.0,valentin-madouas
1444,Daniel McLay,EF Education First,1992-01-03,Great Britain,1.85,72.0,daniel-mclay
1445,Caio Godoy Ormenese,noteam,1995-04-24,Brazil,0.0,0.0,caio-godoy-ormenese
1446,Carlos Barbero,Movistar Team,1991-04-29,Spain,1.78,66.0,carlos-barbero
1447,Hugh Carthy,EF Education First,1994-07-09,Great Britain,1.93,69.0,hugh-carthy
1448,José Gonçalves,Team Katusha Alpecin,1989-02-13,Portugal,1.85,70.0,jose-goncalves
1449,Carlos Jimenez,noteam,1992-02-02,Spain,1.72,64.0,carlos-jimenez-esp
1450,Kyle Murphy,Rally UHC Cycling,1991-10-05,United States,1.85,67.0,kyle-murphy
1451,Eduard Prades,Movistar Team,1987-08-09,Spain,1.78,63.0,eduard-prades
1452,Jaime Rosón,Movistar Team,1993-01-13,Spain,1.79,62.0,jaime-roson
1453,Héctor Sáez,Euskadi Basque Country - Murias,1993-11-06,Spain,1.85,75.0,hector-saez
1454,Ricardo Vilela,Burgos-BH,1987-12-18,Portugal,1.7,57.0,ricardo-vilela
1455,Piotr Brożyna,CCC Development Team,1995-02-17,Poland,1.9,71.0,piotr-brozyna
1456,Jan Hirt,Astana Pro Team,1991-01-21,Czech Republic,1.81,60.0,jan-hirt
1457,Jakub Kaczmarek,Team Hurom,1993-09-27,Poland,1.82,66.0,jakub-kaczmarek
1458,Eryk Latoń,noteam,1993-08-22,Poland,1.84,76.0,eryk-laton
1459,Kamil Małecki,CCC Development Team,1996-01-02,Poland,1.74,69.0,kamil-malecki
1460,Michał Paluta,CCC Development Team,1995-10-04,Poland,1.74,65.0,michal-paluta
1461,Leszek Pluciński,Voster ATS Team,1990-06-03,Poland,1.75,59.0,leszek-plucinski
1462,Stefan Schumacher,noteam,1981-07-21,Germany,1.83,71.0,stefan-schumacher
1463,Patryk Stosz,CCC Development Team,1994-07-15,Poland,1.78,68.0,patryk-stosz
1464,Rayane Bouhanni,"Cofidis, Solutions Crédits",1996-02-24,France,1.84,70.0,rayane-bouhanni
1465,Hugo Hofstetter,"Cofidis, Solutions Crédits",1994-02-13,France,1.7,65.0,hugo-hofstetter
1466,Stéphane Rossetto,"Cofidis, Solutions Crédits",1987-04-06,France,1.8,68.0,stephane-rossetto
1467,Xabier San Sebastian,noteam,1995-11-13,Spain,0.0,0.0,xabier-san-sebastian
1468,Michael Carbel,Team Waoo,1995-02-07,Denmark,1.8,73.0,michael-carbel
1469,Christian Mager,noteam,1992-04-08,Germany,1.72,60.0,christian-mager
1470,Mads Pedersen,Trek - Segafredo,1995-12-18,Denmark,1.79,70.0,mads-pedersen
1471,Rasmus Quaade,Riwal Readynez Cycling Team,1990-01-07,Denmark,1.88,77.0,rasmus-quaade
1472,Michael Reihs,noteam,1979-04-25,Denmark,1.89,75.0,michael-reihs
1473,Joel Zangerle,noteam,1988-10-11,Luxembourg,0.0,0.0,joel-zangerle
