,Fullname,Teamname,Birthdate,Country,Height,Weight,pcs_url
427,Jhonatan Narvaez,Quick-Step Floors,19970304,Ecuador,0.0,0.0,https://www.procyclingstats.com/rider/jhonatan-narvaez
428,Jhonatan Restrepo,Team Katusha - Alpecin,19941128,Colombia,1.71,69.0,https://www.procyclingstats.com/rider/jhonatan-restrepo
429,Jimmy Duquennoy,WB Aqua Protect Veranclassic ,19950609,Belgium,1.79,75.0,https://www.procyclingstats.com/rider/jimmy-duquennoy
430,Jimmy Raibaud,noteam,19911113,France,1.72,59.0,https://www.procyclingstats.com/rider/jimmy-raibaud
431,Jimmy Turgis,"Cofidis, Solutions Crédits",19910810,France,0.0,0.0,https://www.procyclingstats.com/rider/jimmy-turgis
432,Joan Bou,Nippo - Vini Fantini - Europa Ovini,19970116,Spain,0.0,0.0,https://www.procyclingstats.com/rider/joan-bou
433,João Almeida,Hagens Berman Axeon,19980805,Portugal,0.0,0.0,https://www.procyclingstats.com/rider/joao-almeida
434,Joaquim Silva,Caja Rural - Seguros RGA,19920319,Portugal,1.85,67.0,https://www.procyclingstats.com/rider/joaquim-silva
435,Joe Dombrowski,Team EF Education First-Drapac p/b Cannondale,19910512,United States,1.8599999999999999,63.0,https://www.procyclingstats.com/rider/joe-dombrowski
436,Joe Lewis,Holowesko - Citadel p/b Arapahoe Resources,19890113,Australia,0.0,0.0,https://www.procyclingstats.com/rider/joe-lewis
437,Joey Rosskopf,BMC Racing Team,19890905,United States,1.87,76.0,https://www.procyclingstats.com/rider/joey-rosskopf
438,Johan Esteban Chaves,Mitchelton-Scott,19900117,Colombia,1.6400000000000001,55.0,https://www.procyclingstats.com/rider/johan-esteban-chaves
439,Johan Le Bon,Vital Concept Cycling Club,19901003,France,1.8,71.0,https://www.procyclingstats.com/rider/johan-le-bon
440,Johann Van Zyl,Team Dimension Data,19910202,South Africa,1.9,72.0,https://www.procyclingstats.com/rider/johann-van-zyl
441,Johannes Fröhlinger,Team Sunweb  ,19850609,Germany,1.73,62.0,https://www.procyclingstats.com/rider/johannes-frohlinger
442,John Anderson Rodriguez,noteam,19961012,Colombia,1.72,62.0,https://www.procyclingstats.com/rider/john-anderson-rodriguez
443,John Darwin Atapuma,UAE-Team Emirates,19880115,Colombia,1.67,59.0,https://www.procyclingstats.com/rider/john-darwin-atapuma
444,John Degenkolb,Trek - Segafredo,19890107,Germany,1.8,77.0,https://www.procyclingstats.com/rider/john-degenkolb
445,John Murphy,Holowesko - Citadel p/b Arapahoe Resources,19841215,United States,1.8599999999999999,81.0,https://www.procyclingstats.com/rider/john-murphy
446,Jon Aberasturi,Euskadi - Murias ,19890328,Spain,0.0,0.0,https://www.procyclingstats.com/rider/jon-aberasturi
447,Jon Irisarri,Caja Rural - Seguros RGA,19951109,Spain,1.75,66.0,https://www.procyclingstats.com/rider/jon-irisarri
448,Jonas Gregaard Wilsly,Riwal CeramicSpeed Cycling Team,19960730,Denmark,0.0,0.0,https://www.procyclingstats.com/rider/jonas-gregaard
449,Jonas Koch,CCC Sprandi Polkowice ,19930625,Germany,1.87,75.0,https://www.procyclingstats.com/rider/jonas-koch
450,Jonas Rickaert,Sport Vlaanderen - Baloise,19940207,Belgium,1.87,83.5,https://www.procyclingstats.com/rider/jonas-rickaert
451,Jonas van Genechten,Vital Concept Cycling Club,19860916,Belgium,1.76,67.0,https://www.procyclingstats.com/rider/jonas-van-genechten
452,Jonathan Brown,Hagens Berman Axeon,19970420,United States,0.0,0.0,https://www.procyclingstats.com/rider/jonathan-brown
453,Jonathan Castroviejo,Team Sky,19870427,Spain,1.71,62.0,https://www.procyclingstats.com/rider/jonathan-castroviejo
454,Jonathan Clarke,UnitedHealthcare Pro Cycling Team,19841218,Australia,1.78,68.0,https://www.procyclingstats.com/rider/jonathan-clarke
455,Jonathan Dibben,Team Sky,19940212,Great Britain,0.0,0.0,https://www.procyclingstats.com/rider/jonathan-dibben
456,Jonathan Hivert,Direct Energie,19850323,France,1.7000000000000002,62.0,https://www.procyclingstats.com/rider/jonathan-hivert
457,Jonathan Lastra,Caja Rural - Seguros RGA,19930603,Spain,1.72,64.0,https://www.procyclingstats.com/rider/jonathan-lastra
458,Joonas Henttala,Team Novo Nordisk,19910917,Finland,1.87,73.0,https://www.procyclingstats.com/rider/joonas-henttala
459,Jordan Arley Parra,Manzana Postobon,19940419,Colombia,0.0,0.0,https://www.procyclingstats.com/rider/jordan-parra
460,Jordi Simón,Burgos-BH ,19900906,Spain,1.77,64.0,https://www.procyclingstats.com/rider/jordi-simon
461,Jordi Warlop,Sport Vlaanderen - Baloise,19960604,Belgium,0.0,0.0,https://www.procyclingstats.com/rider/jordi-warlop
462,Jorge Arcas,Movistar Team,19920708,Spain,1.87,68.0,https://www.procyclingstats.com/rider/jorge-arcas
463,Jorge Cubero,Burgos-BH ,19921106,Spain,0.0,0.0,https://www.procyclingstats.com/rider/jorge-cubero
464,Jos van Emden,Team LottoNL-Jumbo,19850218,Netherlands,1.8599999999999999,74.0,https://www.procyclingstats.com/rider/jos-van-emden
465,José Gonçalves,Team Katusha - Alpecin,19890213,Portugal,1.85,70.0,https://www.procyclingstats.com/rider/jose-goncalves
466,José Herrada,"Cofidis, Solutions Crédits",19851001,Spain,1.77,66.0,https://www.procyclingstats.com/rider/jose-herrada
467,José  Joaquín Rojas,Movistar Team,19850608,Spain,1.79,69.0,https://www.procyclingstats.com/rider/jose-joaquin-rojas
468,José Manuel Díaz,Israel Cycling Academy,19950118,Spain,1.77,62.0,https://www.procyclingstats.com/rider/jose-manuel-diaz-gallego
469,José Mendes,Burgos-BH ,19850424,Portugal,1.81,64.0,https://www.procyclingstats.com/rider/jose-mendes
470,Joseph Areruya,Delko Marseille Provence KTM,19960101,Rwanda,0.0,0.0,https://www.procyclingstats.com/rider/joseph-areruya
471,Josu Zabala,Caja Rural - Seguros RGA,19930411,Spain,1.7000000000000002,61.0,https://www.procyclingstats.com/rider/josu-zabala
472,Juan Felipe Osorio,Manzana Postobon,19950130,Colombia,1.8,65.0,https://www.procyclingstats.com/rider/juan-felipe-osorio
473,Juan Jose Amador,Manzana Postobon,19980420,Colombia,1.79,63.0,https://www.procyclingstats.com/rider/juan-jose-amador
474,Juan José Lobato,Nippo - Vini Fantini - Europa Ovini,19881230,Spain,1.73,64.0,https://www.procyclingstats.com/rider/juan-jose-lobato
475,Juan Sebastian Molano,Manzana Postobon,19941104,Colombia,1.8,72.0,https://www.procyclingstats.com/rider/juan-sebastian-molano
476,Juan Pablo Villegas,Manzana Postobon,19871015,Colombia,1.78,73.0,https://www.procyclingstats.com/rider/juan-villegas
477,Julen Amezqueta,Caja Rural - Seguros RGA,19930812,Spain,0.0,0.0,https://www.procyclingstats.com/rider/julen-amezqueta
478,Julen Irizar ,Euskadi - Murias ,19950326,Spain,0.0,0.0,https://www.procyclingstats.com/rider/julen-irizar
479,Julian Alaphilippe,Quick-Step Floors,19920611,France,1.73,62.0,https://www.procyclingstats.com/rider/julian-alaphilippe
480,Julián Cardona,Team EF Education First-Drapac p/b Cannondale,19970119,Colombia,0.0,0.0,https://www.procyclingstats.com/rider/julian-cardona2
481,Julien Bernard,Trek - Segafredo,19920317,France,1.76,60.0,https://www.procyclingstats.com/rider/julien-bernard
482,Julien Duval,AG2R La Mondiale,19900527,France,1.79,68.0,https://www.procyclingstats.com/rider/julien-duval
483,Julien El Fares,Delko Marseille Provence KTM,19850601,France,1.73,62.0,https://www.procyclingstats.com/rider/julien-el-fares
484,Julien Loubet,noteam,19850111,France,1.8,66.0,https://www.procyclingstats.com/rider/julien-loubet
485,Julien Morice,Vital Concept Cycling Club,19910720,France,1.9,80.0,https://www.procyclingstats.com/rider/julien-morice
486,Julien Mortier,WB Aqua Protect Veranclassic ,19970720,Belgium,0.0,0.0,https://www.procyclingstats.com/rider/julien-mortier
487,Julien Simon,"Cofidis, Solutions Crédits",19851004,France,1.76,65.0,https://www.procyclingstats.com/rider/julien-simon
488,Julien Stassen,WB Aqua Protect Veranclassic ,19881020,Belgium,1.82,66.0,https://www.procyclingstats.com/rider/julien-stassen
489,Julien Trarieux,Delko Marseille Provence KTM,19920819,France,0.0,0.0,https://www.procyclingstats.com/rider/julien-trarieux
490,Julien Vermote,Team Dimension Data,19890726,Belgium,1.79,71.0,https://www.procyclingstats.com/rider/julien-vermote
491,Julius van den Berg,Team EF Education First-Drapac p/b Cannondale,19961023,Netherlands,0.0,0.0,https://www.procyclingstats.com/rider/julius-van-den-berg
492,Juraj Sagan,BORA - hansgrohe,19881223,Slovakia,1.73,65.0,https://www.procyclingstats.com/rider/juraj-sagan
493,Jurgen Roelandts,BMC Racing Team,19850702,Belgium,1.8399999999999999,78.0,https://www.procyclingstats.com/rider/jurgen-roelandts
494,Justin Jules,WB Aqua Protect Veranclassic ,19860920,France,1.67,64.0,https://www.procyclingstats.com/rider/justin-jules
495,Justin Mottier,Vital Concept Cycling Club,19930914,France,0.0,0.0,https://www.procyclingstats.com/rider/justin-mottier
496,Justin Oien,Caja Rural - Seguros RGA,19950505,United States,1.79,68.0,https://www.procyclingstats.com/rider/justin-oien
497,Kamil Gradek,CCC Sprandi Polkowice ,19900917,Poland,1.94,80.0,https://www.procyclingstats.com/rider/kamil-gradek
498,Kamil Malecki,CCC Sprandi Polkowice ,19960102,Poland,1.74,69.0,https://www.procyclingstats.com/rider/kamil-malecki
499,Kanstantsin Siutsou,Bahrain Merida Pro Cycling Team,19820809,Belarus,1.83,68.0,https://www.procyclingstats.com/rider/kanstantsin-siutsou
500,Kasper Asgreen,Quick-Step Floors,19950208,Denmark,0.0,0.0,https://www.procyclingstats.com/rider/kasper-asgreen
501,Kenneth Vanbilsen,"Cofidis, Solutions Crédits",19900601,Belgium,1.8399999999999999,70.0,https://www.procyclingstats.com/rider/kenneth-van-bilsen
502,Kenneth Van Rooy,Sport Vlaanderen - Baloise,19931008,Belgium,1.78,70.0,https://www.procyclingstats.com/rider/kenneth-van-rooy
503,Kenny Molly,AGO-Aqua Service,19961224,Belgium,0.0,0.0,https://www.procyclingstats.com/rider/kenny-bel-molly
504,Kenny de Ketele,Sport Vlaanderen - Baloise,19850605,Belgium,1.78,66.0,https://www.procyclingstats.com/rider/kenny-de-ketele
505,Kenny Dehaes,WB Aqua Protect Veranclassic ,19841110,Belgium,1.88,73.0,https://www.procyclingstats.com/rider/kenny-dehaes
506,Kenny Elissonde,Team Sky,19910722,France,1.69,52.0,https://www.procyclingstats.com/rider/kenny-elissonde
507,Kevin Deltombe,Sport Vlaanderen - Baloise,19940227,Belgium,1.78,66.0,https://www.procyclingstats.com/rider/kevin-deltombe
508,Kevin Ledanois,Team Fortuneo - Samsic,19930713,France,1.81,62.0,https://www.procyclingstats.com/rider/kevin-ledanois
509,Kévin Réza,Vital Concept Cycling Club,19880518,France,1.8599999999999999,72.0,https://www.procyclingstats.com/rider/kevin-reza
510,Kevin Rivera,Androni Giocattoli - Sidermec,19980628,Costa Rica,0.0,0.0,https://www.procyclingstats.com/rider/kevin-rivera
511,Kevin van Melsen,Wanty - Groupe Gobert,19870401,Belgium,1.85,78.0,https://www.procyclingstats.com/rider/kevin-van-melsen
512,Kevyn Ista,WB Aqua Protect Veranclassic ,19841122,Belgium,1.83,70.0,https://www.procyclingstats.com/rider/kevyn-ista
513,Kiel Reijnen,Trek - Segafredo,19860601,United States,1.8,63.0,https://www.procyclingstats.com/rider/kiel-reijnen
514,Kilian Frankiny,BMC Racing Team,19940126,Switzerland,1.88,68.0,https://www.procyclingstats.com/rider/kilian-frankiny
515,Kim Magnusson,Team EF Education First-Drapac p/b Cannondale,19920831,Sweden,0.0,0.0,https://www.procyclingstats.com/rider/kim-magnusson
516,Koen Bouwman,Team LottoNL-Jumbo,19931202,Netherlands,1.78,60.0,https://www.procyclingstats.com/rider/koen-bouwman
517,Koen de Kort,Trek - Segafredo,19820908,Netherlands,1.79,69.0,https://www.procyclingstats.com/rider/koen-de-kort
518,Kohei Uchima,Nippo - Vini Fantini - Europa Ovini,19881108,Japan,1.7000000000000002,0.0,https://www.procyclingstats.com/rider/kohei-uchima
519,Kris Boeckmans,Vital Concept Cycling Club,19870213,Belgium,1.8,74.0,https://www.procyclingstats.com/rider/kris-boeckmans
520,Kristian Sbaragli,Israel Cycling Academy,19900508,Italy,1.75,70.0,https://www.procyclingstats.com/rider/kristian-sbaragli
521,Kristijan Durasek,UAE-Team Emirates,19870726,Croatia,1.7000000000000002,56.0,https://www.procyclingstats.com/rider/kristijan-durasek
522,Kristijan Koren,Bahrain Merida Pro Cycling Team,19861125,Slovenia,1.83,72.0,https://www.procyclingstats.com/rider/kristijan-koren
523,Kristoffer Halvorsen,Team Sky,19960413,Norway,0.0,0.0,https://www.procyclingstats.com/rider/kristoffer-halvorsen
524,Krists Neilands,Israel Cycling Academy,19940818,Latvia,1.8900000000000001,69.0,https://www.procyclingstats.com/rider/krists-neilands
525,Kyle Murphy,Rally Cycling,19911005,United States,1.85,67.0,https://www.procyclingstats.com/rider/kyle-murphy
526,Lachlan Morton,Team Dimension Data,19920102,Australia,1.8,62.0,https://www.procyclingstats.com/rider/lachlan-morton
527,Lachlan Norris,UnitedHealthcare Pro Cycling Team,19870121,Australia,1.77,67.0,https://www.procyclingstats.com/rider/lachlan-norris
528,Lars Boom,Team LottoNL-Jumbo,19851230,Netherlands,1.9100000000000001,72.0,https://www.procyclingstats.com/rider/lars-boom
529,Lars Ytting Bak,Lotto Soudal,19800116,Denmark,1.9,76.0,https://www.procyclingstats.com/rider/lars-ytting-bak
530,Lasse Norman Hansen,Aqua Blue Sport,19920211,Denmark,1.8,75.0,https://www.procyclingstats.com/rider/lasse-norman-hansen
531,Laurens De Plus,Quick-Step Floors,19950904,Belgium,1.8900000000000001,67.0,https://www.procyclingstats.com/rider/laurens-de-plus
532,Laurens de Vreese,Astana Pro Team,19880929,Belgium,1.9,76.0,https://www.procyclingstats.com/rider/laurens-de-vreese
533,Laurens ten Dam,Team Sunweb  ,19801113,Netherlands,1.8399999999999999,69.0,https://www.procyclingstats.com/rider/laurens-ten-dam
534,Laurent Didier,Trek - Segafredo,19840719,Luxembourg,1.8900000000000001,68.0,https://www.procyclingstats.com/rider/laurent-didier
535,Laurent Pichon,Team Fortuneo - Samsic,19860719,France,1.78,69.0,https://www.procyclingstats.com/rider/laurent-pichon
536,Lawrence Naesen,Lotto Soudal,19920828,Belgium,1.9,72.0,https://www.procyclingstats.com/rider/lawrence-naesen
537,Larry Warbasse,Aqua Blue Sport,19900628,United States,1.83,67.0,https://www.procyclingstats.com/rider/lawrence-warbasse
538,Lawson Craddock,Team EF Education First-Drapac p/b Cannondale,19920220,United States,1.78,69.0,https://www.procyclingstats.com/rider/lawson-craddock
539,Lennard Hofstede,Team Sunweb  ,19941229,Netherlands,0.0,0.0,https://www.procyclingstats.com/rider/lennard-hofstede
540,Lennard Kämna,Team Sunweb  ,19960909,Germany,1.81,65.0,https://www.procyclingstats.com/rider/lennard-kamna
541,Léo Vincent,Groupama - FDJ,19951106,France,1.77,62.0,https://www.procyclingstats.com/rider/leo-vincent
542,Leonardo Basso,Team Sky,19931225,Italy,1.78,63.0,https://www.procyclingstats.com/rider/leonardo-basso
543,Leopold König,BORA - hansgrohe,19871115,Czech Republic,1.78,62.0,https://www.procyclingstats.com/rider/leopold-konig
544,Leszek Plucinski,CCC Sprandi Polkowice ,19900603,Poland,1.75,59.0,https://www.procyclingstats.com/rider/leszek-plucinski
545,Liam Bertazzo,Wilier Triestina - Selle Italia,19920217,Italy,1.8,75.0,https://www.procyclingstats.com/rider/liam-bertazzo
546,Lilian Calmejane,Direct Energie,19921206,France,1.8399999999999999,69.0,https://www.procyclingstats.com/rider/lilian-calmejane
547,Lindsay De Vylder,Sport Vlaanderen - Baloise,19950530,Belgium,1.83,70.0,https://www.procyclingstats.com/rider/lindsay-de-vijlder
548,Lionel Taminiaux ,AGO-Aqua Service,19960521,Belgium,0.0,0.0,https://www.procyclingstats.com/rider/lionel-taminiaux
549,Lluís Guillermo Mas,Caja Rural - Seguros RGA,19891015,Spain,1.81,69.0,https://www.procyclingstats.com/rider/lluis-guillermo-mas
550,Logan Owen,Team EF Education First-Drapac p/b Cannondale,19950325,United States,1.8,67.0,https://www.procyclingstats.com/rider/logan-owen
551,Loïc Chetout,"Cofidis, Solutions Crédits",19920923,France,1.78,0.0,https://www.procyclingstats.com/rider/loic-chetout
552,Loïc Vliegen,BMC Racing Team,19931220,Belgium,1.83,66.0,https://www.procyclingstats.com/rider/loic-vliegen
553,Lorenzo Rota,Bardiani - CSF,19950523,Italy,1.72,59.0,https://www.procyclingstats.com/rider/lorenzo-rota
554,Lorrenzo Manzin,Vital Concept Cycling Club,19940726,France,1.75,70.0,https://www.procyclingstats.com/rider/lorrenzo-manzin
555,Louis Meintjes,Team Dimension Data,19920221,South Africa,1.73,61.0,https://www.procyclingstats.com/rider/louis-meintjes
556,Louis Vervaeke,Team Sunweb  ,19931006,Belgium,1.8,65.0,https://www.procyclingstats.com/rider/louis-vervaeke
557,Luca Chirico,noteam,19920716,Italy,1.67,53.0,https://www.procyclingstats.com/rider/luca-chirico
558,Luca Pacioni,Wilier Triestina - Selle Italia,19930813,Italy,0.0,0.0,https://www.procyclingstats.com/rider/luca-pacioni
559,Luca Raggio,Wilier Triestina - Selle Italia,19950326,Italy,0.0,0.0,https://www.procyclingstats.com/rider/luca-raggio
560,Luca Wackermann,Bardiani - CSF,19920313,Italy,1.88,68.0,https://www.procyclingstats.com/rider/luca-wackermann
561,Lucas De Rossi,Delko Marseille Provence KTM,19950816,France,0.0,0.0,https://www.procyclingstats.com/rider/lucas-de-rossi
562,Lucas Hamilton,Mitchelton-Scott,19960212,Australia,0.0,0.0,https://www.procyclingstats.com/rider/lucas-hamilton
563,Lucas Sebastian Haedo,UnitedHealthcare Pro Cycling Team,19830418,Argentina,1.73,0.0,https://www.procyclingstats.com/rider/lucas-sebastian-haedo
564,Ludovic Robeet,WB Aqua Protect Veranclassic ,19940522,Belgium,1.94,75.0,https://www.procyclingstats.com/rider/ludovic-robeet
565,Ludwig De Winter,WB Aqua Protect Veranclassic ,19921231,Belgium,1.87,80.0,https://www.procyclingstats.com/rider/ludwig-de-winter
566,Luis Ángel Maté,"Cofidis, Solutions Crédits",19840323,Spain,1.77,69.0,https://www.procyclingstats.com/rider/luis-angel-mate
567,Luis Lemus,Israel Cycling Academy,19920421,Mexico,1.73,61.0,https://www.procyclingstats.com/rider/luis-lemus
568,Luis Leon Sanchez,Astana Pro Team,19831124,Spain,1.87,74.0,https://www.procyclingstats.com/rider/luis-leon-sanchez
569,Luka Mezgec,Mitchelton-Scott,19880627,Slovenia,1.83,72.0,https://www.procyclingstats.com/rider/luka-mezgec
570,Luka Pibernik,Bahrain Merida Pro Cycling Team,19931023,Slovenia,1.77,60.0,https://www.procyclingstats.com/rider/luka-pibernik
571,Lukas Pöstlberger,BORA - hansgrohe,19920110,Austria,1.82,70.0,https://www.procyclingstats.com/rider/lukas-postlberger
572,Lukas Spengler,WB Aqua Protect Veranclassic ,19940916,Switzerland,1.88,78.0,https://www.procyclingstats.com/rider/lukas-spengler
573,Lukasz Owsian,CCC Sprandi Polkowice ,19900224,Poland,1.81,66.0,https://www.procyclingstats.com/rider/lukasz-owsian
574,Lukasz Wisniowski,Team Sky,19911207,Poland,1.9,79.0,https://www.procyclingstats.com/rider/lukasz-wisniowski
575,Luke Durbridge,Mitchelton-Scott,19910409,Australia,1.87,78.0,https://www.procyclingstats.com/rider/luke-durbridge
576,Luke Keough,UnitedHealthcare Pro Cycling Team,19910810,United States,1.75,68.0,https://www.procyclingstats.com/rider/luke-keough
577,Luke Rowe,Team Sky,19900310,Great Britain,1.85,72.0,https://www.procyclingstats.com/rider/luke-rowe
578,Maarten Wynants,Team LottoNL-Jumbo,19820513,Belgium,1.9,74.0,https://www.procyclingstats.com/rider/maarten-wynants
579,Maciej Bodnar,BORA - hansgrohe,19850307,Poland,1.8599999999999999,70.0,https://www.procyclingstats.com/rider/maciej-bodnar
580,Mads Pedersen,Trek - Segafredo,19951218,Denmark,1.79,70.0,https://www.procyclingstats.com/rider/mads-pedersen
581,Mads Würtz Schmidt,Team Katusha - Alpecin,19940331,Denmark,1.76,62.0,https://www.procyclingstats.com/rider/mads-wurtz-schmidt
582,Magnus Cort  Nielsen,Astana Pro Team,19930116,Denmark,0.0,68.0,https://www.procyclingstats.com/rider/magnus-cort-nielsen
583,Maikel Zijlaard,Hagens Berman Axeon,19990601,Netherlands,0.0,0.0,https://www.procyclingstats.com/rider/maikel-zijlaard
584,Manuel Belletti,Androni Giocattoli - Sidermec,19851014,Italy,1.75,68.0,https://www.procyclingstats.com/rider/manuel-belletti
585,Manuel Senni,Bardiani - CSF,19920311,Italy,1.81,64.0,https://www.procyclingstats.com/rider/manuel-senni
586,Manuele Boaro,Bahrain Merida Pro Cycling Team,19870312,Italy,1.73,64.0,https://www.procyclingstats.com/rider/manuele-boaro
587,Manuele Mori,UAE-Team Emirates,19800809,Italy,1.72,62.0,https://www.procyclingstats.com/rider/manuele-mori
588,Marc Fournier,Vital Concept Cycling Club,19941112,France,1.83,71.0,https://www.procyclingstats.com/rider/marc-fournier
589,Marc Sarreau,Groupama - FDJ,19930610,France,1.82,74.0,https://www.procyclingstats.com/rider/marc-sarreau
590,Marc Soler,Movistar Team,19931122,Spain,1.8599999999999999,68.0,https://www.procyclingstats.com/rider/marc-soler
591,Marcel Kittel,Team Katusha - Alpecin,19880511,Germany,1.88,82.0,https://www.procyclingstats.com/rider/marcel-kittel
592,Marcel Sieberg,Lotto Soudal,19820430,Germany,1.98,80.0,https://www.procyclingstats.com/rider/marcel-sieberg
593,Marco Benfatto,Androni Giocattoli - Sidermec,19880106,Italy,1.78,74.0,https://www.procyclingstats.com/rider/marco-benfatto
594,Marco Canola,Nippo - Vini Fantini - Europa Ovini,19881226,Italy,1.8,66.0,https://www.procyclingstats.com/rider/marco-canola
595,Marco Coledan,Wilier Triestina - Selle Italia,19880822,Italy,1.9,83.0,https://www.procyclingstats.com/rider/marco-coledan
596,Marco Frapporti,Androni Giocattoli - Sidermec,19850330,Italy,1.79,69.0,https://www.procyclingstats.com/rider/marco-frapporti
597,Marco Haller,Team Katusha - Alpecin,19910401,Austria,1.78,72.0,https://www.procyclingstats.com/rider/marco-haller
598,Marco Marcato,UAE-Team Emirates,19840211,Italy,1.74,67.0,https://www.procyclingstats.com/rider/marco-marcato
599,Marco Maronese,Bardiani - CSF,19941225,Italy,0.0,0.0,https://www.procyclingstats.com/rider/marco-maronese
600,Marco Mathis,Team Katusha - Alpecin,19940407,Germany,1.8599999999999999,0.0,https://www.procyclingstats.com/rider/marco-mathis
601,Marco Minnaard,Wanty - Groupe Gobert,19890411,Netherlands,1.78,65.0,https://www.procyclingstats.com/rider/marco-minnaard
602,Marco Tizza,Nippo - Vini Fantini - Europa Ovini,19920206,Italy,1.73,58.0,https://www.procyclingstats.com/rider/marco-tizza
603,Marcus Burghardt,BORA - hansgrohe,19830630,Germany,1.8900000000000001,75.0,https://www.procyclingstats.com/rider/marcus-burghardt
604,Marino Kobayashi,Nippo - Vini Fantini - Europa Ovini,19940701,Japan,0.0,0.0,https://www.procyclingstats.com/rider/marino-kobayashi
605,Mark Cavendish,Team Dimension Data,19850521,Great Britain,1.75,70.0,https://www.procyclingstats.com/rider/mark-cavendish
606,Mark Christian,Aqua Blue Sport,19901120,Great Britain,1.85,72.0,https://www.procyclingstats.com/rider/mark-christian
607,Mark Mcnally,Wanty - Groupe Gobert,19890720,Great Britain,1.8599999999999999,72.0,https://www.procyclingstats.com/rider/mark-mcnally
608,Mark Padun,Bahrain Merida Pro Cycling Team,19960706,Ukraine,1.82,64.0,https://www.procyclingstats.com/rider/mark-padun
609,Mark Renshaw,Team Dimension Data,19821022,Australia,1.79,72.0,https://www.procyclingstats.com/rider/mark-renshaw
610,Markel Irizar,Trek - Segafredo,19800205,Spain,1.82,73.0,https://www.procyclingstats.com/rider/markel-irizar
611,Marko Kump,CCC Sprandi Polkowice ,19880909,Slovenia,1.8,69.0,https://www.procyclingstats.com/rider/marko-kump
612,Martijn Budding,Roompot - Nederlandse Loterij,19950831,Netherlands,1.87,71.0,https://www.procyclingstats.com/rider/martijn-budding
613,Martijn Tusveld,Team Sunweb  ,19930909,Netherlands,1.87,70.0,https://www.procyclingstats.com/rider/martijn-tusveld
614,Masakazu Ito,Nippo - Vini Fantini - Europa Ovini,19880612,Japan,0.0,0.0,https://www.procyclingstats.com/rider/masakazu-ito
615,Massimo Rosa,Wilier Triestina - Selle Italia,19951209,Italy,0.0,0.0,https://www.procyclingstats.com/rider/massimo-rosa
616,Matej Mohoric,Bahrain Merida Pro Cycling Team,19941019,Slovenia,1.85,70.0,https://www.procyclingstats.com/rider/matej-mohoric
617,Mateusz Taciak,CCC Sprandi Polkowice ,19840619,Poland,1.78,68.0,https://www.procyclingstats.com/rider/mateusz-taciak
618,Mathew Hayman,Mitchelton-Scott,19780420,Australia,1.9,78.0,https://www.procyclingstats.com/rider/mathew-hayman
619,Mathias De Witte,Vérandas Willems-Crelan ,19930329,Belgium,1.78,61.0,https://www.procyclingstats.com/rider/mathias-de-witte
620,Mathias Frank,AG2R La Mondiale,19861209,Switzerland,1.76,64.0,https://www.procyclingstats.com/rider/mathias-frank
621,Mathias Le Turnier,"Cofidis, Solutions Crédits",19950314,France,0.0,0.0,https://www.procyclingstats.com/rider/mathias-le-turnier
622,Mathias Van Gompel,Sport Vlaanderen - Baloise,19950924,Belgium,0.0,0.0,https://www.procyclingstats.com/rider/mathias-van-gompel
623,Matteo Bono,UAE-Team Emirates,19831111,Italy,1.71,60.0,https://www.procyclingstats.com/rider/matteo-bono
624,Matteo Busato,Wilier Triestina - Selle Italia,19871220,Italy,1.79,67.0,https://www.procyclingstats.com/rider/matteo-busato
625,Matteo Dal-cin,Rally Cycling,19910114,Canada,0.0,0.0,https://www.procyclingstats.com/rider/matteo-dal-cin
626,Matteo Fabbro,Team Katusha - Alpecin,19950410,Italy,0.0,0.0,https://www.procyclingstats.com/rider/matteo-fabbro
627,Matteo Malucelli,Androni Giocattoli - Sidermec,19931020,Italy,1.71,68.0,https://www.procyclingstats.com/rider/matteo-malucelli
628,Matteo Montaguti,AG2R La Mondiale,19840106,Italy,1.81,65.0,https://www.procyclingstats.com/rider/matteo-montaguti
629,Matteo Pelucchi,BORA - hansgrohe,19890121,Italy,1.82,76.0,https://www.procyclingstats.com/rider/matteo-pelucchi
630,Matteo Spreafico,Androni Giocattoli - Sidermec,19930215,Italy,0.0,0.0,https://www.procyclingstats.com/rider/matteo-spreafico
631,Matteo Trentin,Mitchelton-Scott,19890802,Italy,1.79,74.0,https://www.procyclingstats.com/rider/matteo-trentin
632,Matthew Brammeier,noteam,19850607,Ireland,1.81,72.0,https://www.procyclingstats.com/rider/matthew-brammeier
633,Matthias Brändle,Trek - Segafredo,19891207,Austria,1.8900000000000001,77.0,https://www.procyclingstats.com/rider/matthias-brandle
634,Matthieu Ladagnous,Groupama - FDJ,19841212,France,1.82,73.0,https://www.procyclingstats.com/rider/matthieu-ladagnous
635,Matti Breschel,Team EF Education First-Drapac p/b Cannondale,19840831,Denmark,1.81,70.0,https://www.procyclingstats.com/rider/matti-breschel
636,Mattia Cattaneo,Androni Giocattoli - Sidermec,19901025,Italy,1.82,60.0,https://www.procyclingstats.com/rider/mattia-cattaneo
637,Mattia Frapporti,Androni Giocattoli - Sidermec,19940702,Italy,1.82,0.0,https://www.procyclingstats.com/rider/mattia-frapporti
638,Matvey Mamykin,Burgos-BH ,19941031,Russia,1.79,62.0,https://www.procyclingstats.com/rider/matvey-mamykin
